Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:43:19,27.53,27.66,24.75,17.85,18.02,24.50
12:43:20,28.27,28.40,24.75,17.40,17.48,24.75
12:43:21,28.28,28.41,24.75,18.29,18.47,24.50
12:43:22,26.80,26.80,25.00,18.29,18.55,24.25
12:43:23,28.27,28.27,25.00,18.29,18.38,24.75
12:43:23,28.27,28.54,24.50,17.85,18.11,24.25
12:43:24,28.28,28.28,25.00,18.29,18.47,24.50
12:43:25,27.54,27.54,25.00,17.84,17.93,24.75
12:43:26,28.28,28.55,24.50,17.84,18.10,24.25
12:43:27,27.54,27.54,25.00,18.29,18.29,25.00
12:43:28,28.27,28.40,24.75,18.73,18.91,24.50
12:43:29,27.53,27.66,24.75,18.29,18.55,24.25
12:43:30,27.53,27.53,25.00,17.84,18.01,24.50
12:43:31,26.80,26.93,24.75,17.85,17.94,24.75
12:43:32,27.54,27.67,24.75,17.84,18.01,24.50
12:43:33,28.28,28.28,25.00,18.29,18.38,24.75
12:43:34,27.53,27.66,24.75,18.28,18.28,25.00
12:43:35,27.53,27.66,24.75,18.73,18.91,24.50
12:43:36,28.27,28.40,24.75,17.85,18.02,24.50
12:43:37,29.02,29.16,24.75,18.29,18.47,24.50
12:43:38,27.53,27.66,24.75,18.29,18.38,24.75
12:43:39,29.02,29.16,24.75,18.29,18.38,24.75
12:43:40,28.28,28.41,24.75,17.39,17.47,24.75
12:43:41,27.54,27.54,25.00,18.28,18.37,24.75
12:43:42,28.28,28.28,25.00,17.84,17.93,24.75
12:43:43,29.66,29.80,24.75,17.84,18.01,24.50
12:43:44,28.28,28.41,24.75,17.84,18.10,24.25
12:43:45,29.02,29.02,25.00,17.84,17.84,25.00
12:43:46,29.01,29.15,24.75,17.84,18.10,24.25
12:43:47,29.66,29.52,25.25,17.84,17.84,25.00
12:43:48,29.66,29.94,24.50,17.84,17.76,25.25
12:43:49,29.66,29.94,24.50,18.29,18.47,24.50
12:43:50,29.67,29.81,24.75,18.28,18.37,24.75
12:43:51,29.02,28.88,25.25,17.39,17.47,24.75
12:43:52,30.41,30.41,25.00,18.72,18.90,24.50
12:43:53,28.28,28.28,25.00,18.28,18.37,24.75
12:43:54,29.02,29.02,25.00,17.83,18.00,24.50
12:43:55,29.66,29.66,25.00,17.84,18.01,24.50
12:43:56,29.02,29.02,25.00,17.39,17.47,24.75
12:43:57,29.02,28.88,25.25,17.83,17.92,24.75
12:43:58,28.28,28.28,25.00,18.28,18.37,24.75
12:43:59,29.02,29.30,24.50,17.84,18.01,24.50
12:44:00,30.41,30.27,25.25,18.72,18.99,24.25
